,molecule_chembl_id,canonical_smiles,standard_relation,standard_value,standard_units,standard_value_nM
2333,CHEMBL297527,CS(=O)(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N)cc2)cc1,=,2640.0,nM,2640.0
6030,CHEMBL3747306,NS(=O)(=O)c1ccc(N2N=C(c3cccs3)CC2c2ccc(Cl)cc2)cc1,=,2640.0,nM,2640.0
475,CHEMBL28664,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc([N+](=O)[O-])cc2)cc1,=,2630.27,nM,2630.27
5895,CHEMBL3410342,COc1ccccc1C1C2CCc3ccccc3C2=NN1c1ccc(S(N)(=O)=O)cc1,=,2630.0,nM,2630.0
2356,CHEMBL320433,Cc1ccc(-c2cc(C(F)(F)F)n(-c3ccc(N=[N+]=[N-])cc3)n2)cc1,=,2630.0,nM,2630.0
1426,CHEMBL161788,CCCCCCCCCCCCCCCc1cccc(OC)c1CSc1nc2cc(C)ccc2[nH]1,=,2630.0,nM,2630.0
7799,CHEMBL5286858,Cc1c(C2=NNC(c3ccccc3)C2)nnn1-c1ccc(S(N)(=O)=O)cc1,=,2610.0,nM,2610.0
7804,CHEMBL5267823,Cc1c(C(=O)NNC(=S)Nc2ccccc2)nnn1-c1ccc(S(N)(=O)=O)cc1,=,2610.0,nM,2610.0
7802,CHEMBL5276315,C/C(=N\NC(=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,=,2610.0,nM,2610.0
7803,CHEMBL5269887,C/C(=N\NC(=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C)c1cc2ccccc2o1,=,2610.0,nM,2610.0
7800,CHEMBL5265784,CC(=O)N1N=C(c2nnn(-c3ccc(S(N)(=O)=O)cc3)c2C)CC1c1ccccc1,=,2610.0,nM,2610.0
7797,CHEMBL5280475,CCC(=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,=,2610.0,nM,2610.0
7798,CHEMBL5275155,Cc1c(C(=O)/C=C/c2ccccc2)nnn1-c1ccc(S(N)(=O)=O)cc1,=,2610.0,nM,2610.0
7796,CHEMBL4786755,CC(=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,=,2610.0,nM,2610.0
2486,CHEMBL183977,COc1ccc(C(=O)c2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,=,2600.0,nM,2600.0
